iter	RMSE
0	9.373440281
1	9.041310984
2	8.711628881
3	8.373708949
4	8.071941362
5	7.775930589
6	7.488362246
7	7.225601663
8	6.975497928
9	6.730459561
10	6.50938975
11	6.293325003
12	6.081923351
13	5.884827383
14	5.688942283
15	5.484842766
16	5.306635039
17	5.134606953
18	4.97740309
19	4.826074
20	4.662678216
21	4.531386433
22	4.399909143
23	4.271472133
24	4.152962372
25	4.031960255
26	3.919215682
27	3.805310936
28	3.70161572
29	3.604829928
30	3.506301176
31	3.408892005
32	3.32433408
33	3.239338463
34	3.166819975
35	3.087918739
36	3.02074913
37	2.95377253
38	2.894911484
39	2.835088993
40	2.78152464
41	2.719133664
42	2.66508219
43	2.620131823
44	2.576469066
45	2.531609638
46	2.492632731
47	2.452123873
48	2.413859097
49	2.373753569
50	2.337357751
51	2.305704078
52	2.270472843
53	2.239446872
54	2.21086674
55	2.18174913
56	2.159581599
57	2.134253347
58	2.111436804
59	2.087352673
60	2.067003383
61	2.046389901
62	2.025787515
63	2.004454764
64	1.984586283
65	1.967747265
66	1.949954172
67	1.934803431
68	1.922710607
69	1.908337764
70	1.894083534
71	1.87975232
72	1.869079369
73	1.857534366
74	1.846779665
75	1.832663427
76	1.822601757
77	1.814202622
78	1.804356109
79	1.796251696
80	1.78894652
81	1.779564327
82	1.771684275
83	1.76455914
84	1.758018344
85	1.748934724
86	1.742519696
87	1.736222798
88	1.730052244
89	1.72220165
90	1.715991531
91	1.708284098
92	1.702688104
93	1.698026131
94	1.692328162
95	1.687662241
96	1.68171364
97	1.676620001
98	1.672018944
99	1.667733828
100	1.662329414
101	1.657301282
102	1.653308414
103	1.649825049
104	1.645318682
105	1.642224449
106	1.638789717
107	1.633627461
108	1.630100982
109	1.626017465
110	1.622363204
111	1.618333326
112	1.614424837
113	1.611186291
114	1.607453183
115	1.602606388
116	1.597912992
117	1.59436831
118	1.591262937
119	1.588146798
120	1.585797148
121	1.582458259
122	1.57896075
123	1.577214385
124	1.574746178
125	1.572088954
126	1.569384148
127	1.565771266
128	1.561623669
129	1.559903902
130	1.557896152
131	1.554915128
132	1.552614608
133	1.550118
134	1.548065073
135	1.545822268
136	1.544715034
137	1.542029487
138	1.539079443
139	1.536637055
140	1.533983162
141	1.531059113
142	1.527981647
143	1.524797824
144	1.523172624
145	1.521812334
146	1.519949411
147	1.517046708
148	1.514768711
149	1.512710657
150	1.508952331
151	1.506372317
152	1.503280226
153	1.500966062
154	1.498966679
155	1.495031445
156	1.493098257
157	1.491618385
158	1.488612493
159	1.487144743
160	1.485319774
161	1.483195521
162	1.479910781
163	1.478673574
164	1.476991761
165	1.473719949
166	1.471526896
167	1.469951237
168	1.468004562
169	1.465816941
170	1.463529648
171	1.461079416
172	1.458988494
173	1.457129649
174	1.455726174
175	1.453596069
176	1.450844115
177	1.44899197
178	1.447050076
179	1.445622803
180	1.443740387
181	1.442806901
182	1.441232695
183	1.439973444
184	1.43843368
185	1.436010728
186	1.433516094
187	1.430974174
188	1.428515716
189	1.42699344
190	1.425043053
191	1.424345959
192	1.422881871
193	1.422394577
194	1.421452757
195	1.418522969
196	1.416290333
197	1.414744115
198	1.413734226
199	1.410681825
200	1.407060008
201	1.404799237
202	1.404259632
203	1.402768992
204	1.401158224
205	1.399085062
206	1.396831109
207	1.393347265
208	1.391067305
209	1.389653714
210	1.388195127
211	1.384813493
212	1.382846777
213	1.380752122
214	1.37935526
215	1.377512561
216	1.376729234
217	1.374946498
218	1.374571703
219	1.372708287
220	1.372072932
221	1.369325188
222	1.367971951
223	1.365210422
224	1.363838615
225	1.361842263
226	1.360527418
227	1.359906631
228	1.357320352
229	1.356623412
230	1.354701636
231	1.353018468
232	1.350199954
233	1.347472297
234	1.345694165
235	1.34539513
236	1.343328731
237	1.340799753
238	1.339316597
239	1.337717827
240	1.336336764
241	1.335907902
242	1.334529957
243	1.332499547
244	1.331377321
245	1.330559773
246	1.32980249
247	1.327620562
248	1.325999833
249	1.324230738
250	1.321919391
251	1.32129333
252	1.320005463
253	1.317261615
254	1.31519615
255	1.312988425
256	1.310718337
257	1.308702302
258	1.306910812
259	1.306431595
260	1.303628393
261	1.30228372
262	1.299917826
263	1.297723288
264	1.296475894
265	1.294438639
266	1.292512188
267	1.290675888
268	1.288444168
269	1.288013623
270	1.285646481
271	1.283539521
272	1.281435341
273	1.279378775
274	1.277737179
275	1.276770038
276	1.275090088
277	1.273704839
278	1.271385213
279	1.269892426
280	1.268076205
281	1.266274891
282	1.264224429
283	1.262136127
284	1.260895266
285	1.259601731
286	1.257270252
287	1.255349881
288	1.253408794
289	1.251297701
290	1.249154414
291	1.248286434
292	1.245885685
293	1.244860597
294	1.243334793
295	1.241289938
296	1.240957323
297	1.239667484
298	1.237703858
299	1.235900024
300	1.234478522
301	1.233083646
302	1.231695735
303	1.230322978
304	1.228566188
305	1.225261669
306	1.223918364
307	1.22205836
308	1.220343835
309	1.220100231
310	1.219337708
311	1.217248803
312	1.215095032
313	1.214135755
314	1.212530805
315	1.210652293
316	1.209640878
317	1.20824647
318	1.2064684
319	1.205283226
320	1.204109125
321	1.202578329
322	1.200582884
323	1.198528983
324	1.197144158
325	1.19605406
326	1.195474595
327	1.194362134
328	1.193211271
329	1.191403975
330	1.189842912
331	1.188826755
332	1.187155902
333	1.185744854
334	1.183809077
335	1.181875879
336	1.180605024
337	1.17908234
338	1.177592848
339	1.176412793
340	1.174994147
341	1.173942519
342	1.172403522
343	1.171212554
344	1.170192315
345	1.169092315
346	1.16875769
347	1.167377524
348	1.165849625
349	1.164849981
350	1.163778382
351	1.162071234
352	1.1607074
353	1.158763463
354	1.158256389
355	1.156697312
356	1.155739861
357	1.154466171
358	1.15304387
359	1.152690844
360	1.151847838
361	1.151059417
362	1.149087713
363	1.147246804
364	1.145476193
365	1.14465001
366	1.144256349
367	1.143543418
368	1.142382854
369	1.140894808
370	1.139527382
371	1.138548451
372	1.136667251
373	1.13363602
374	1.132004582
375	1.130612643
376	1.12933605
377	1.128275772
378	1.127471368
379	1.126031673
380	1.124895534
381	1.123676108
382	1.122548217
383	1.121431191
384	1.12106723
385	1.119876731
386	1.119657401
387	1.118785975
388	1.118453864
389	1.118159828
390	1.116930557
391	1.115603194
392	1.115454706
393	1.113928813
394	1.112506161
395	1.111848501
396	1.11044898
397	1.110269047
398	1.108864567
399	1.107847489
400	1.106800149
401	1.105205262
402	1.104221458
403	1.102348475
404	1.10210665
405	1.100932805
406	1.100060546
